指标键,统计期日期,原始数值,来源,来源优先级,生效日期,状态
综合|2-制造业PMI,2020-11-30,52.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2020-12-31,51.9,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2021-01-31,51.3,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2021-02-28,50.6,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2021-03-31,51.9,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2021-04-30,51.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2021-05-31,51.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2021-06-30,50.9,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2021-07-31,50.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2021-08-31,50.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2021-09-30,49.6,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2021-10-31,49.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2021-11-30,50.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2021-12-31,50.3,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2022-01-30,50.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2022-03-01,50.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2022-03-31,49.5,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2022-04-30,47.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2022-05-31,49.6,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2022-06-30,50.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2022-07-31,49.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2022-08-31,49.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2022-09-30,50.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2022-10-31,49.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2022-11-30,48.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2022-12-31,47.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2023-01-31,50.1,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2023-03-01,52.6,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2023-03-31,51.9,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2023-04-30,49.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2023-05-31,48.8,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2023-06-30,49.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2023-07-31,49.3,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2023-08-31,49.7,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2023-09-30,50.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
