研究排名,股票代码,评分日期,总分,置信度,研究状态,评分状态,准入结论
237,688072,2026-07-28,60.2116,0.31,观察,数据不足,数据不足
238,600219,2026-07-28,60.1223,0.2889,观察,数据不足,数据不足
239,600276,2026-07-28,60.09,0.2727,观察,数据不足,数据不足
240,300866,2026-07-28,59.9907,0.3169,观察,数据不足,数据不足
241,000568,2026-07-28,59.8917,0.3134,观察,数据不足,数据不足
242,600585,2026-07-28,59.8831,0.3169,观察,数据不足,数据不足
243,300408,2026-07-28,59.8324,0.296,观察,数据不足,数据不足
244,600018,2026-07-28,59.7743,0.3169,观察,数据不足,数据不足
245,600023,2026-07-28,59.7286,0.31,观察,数据不足,数据不足
246,603296,2026-07-28,59.7111,0.3169,观察,数据不足,数据不足
247,000408,2026-07-28,59.6225,0.2751,观察,数据不足,数据不足
248,300661,2026-07-28,59.5167,0.3065,观察,数据不足,数据不足
249,600660,2026-07-28,59.4183,0.2891,观察,数据不足,数据不足
250,300832,2026-07-28,59.2951,0.2889,观察,数据不足,数据不足
251,601857,2026-07-28,59.0248,0.3169,观察,数据不足,数据不足
252,000999,2026-07-28,58.7591,0.2995,观察,数据不足,数据不足
253,600346,2026-07-28,58.7306,0.2891,观察,数据不足,数据不足
254,601766,2026-07-28,58.5766,0.3169,观察,数据不足,数据不足
255,688012,2026-07-28,58.42,0.31,观察,数据不足,数据不足
256,600415,2026-07-28,58.3138,0.2925,观察,数据不足,数据不足
257,002352,2026-07-28,58.2344,0.3134,观察,数据不足,数据不足
258,002311,2026-07-28,58.2172,0.31,观察,数据不足,数据不足
259,600362,2026-07-28,58.146,0.3134,观察,数据不足,数据不足
260,603501,2026-07-28,58.0947,0.3169,观察,数据不足,数据不足
261,002028,2026-07-28,57.8908,0.2995,观察,数据不足,数据不足
262,002371,2026-07-28,57.6593,0.3169,观察,数据不足,数据不足
263,600690,2026-07-28,57.4585,0.31,观察,数据不足,数据不足
264,000630,2026-07-28,57.4461,0.3134,观察,数据不足,数据不足
265,600176,2026-07-28,57.4181,0.2995,观察,数据不足,数据不足
266,600011,2026-07-28,57.3264,0.3134,观察,数据不足,数据不足
267,600027,2026-07-28,57.2036,0.3134,观察,数据不足,数据不足
268,002384,2026-07-28,57.1625,0.31,观察,数据不足,数据不足
269,001979,2026-07-28,57.124,0.2793,观察,数据不足,数据不足
270,601111,2026-07-28,57.079,0.2793,观察,数据不足,数据不足
271,002050,2026-07-28,56.9381,0.3169,观察,数据不足,数据不足
272,688036,2026-07-28,56.9195,0.31,观察,数据不足,数据不足
273,000895,2026-07-28,56.7709,0.3134,观察,数据不足,数据不足
274,603260,2026-07-28,56.6059,0.2793,观察,数据不足,数据不足
275,600009,2026-07-28,56.5938,0.2578,观察,数据不足,数据不足
276,300124,2026-07-28,56.5513,0.31,观察,数据不足,数据不足
277,600029,2026-07-28,56.4417,0.2793,观察,数据不足,数据不足
278,600115,2026-07-28,56.1673,0.2793,观察,数据不足,数据不足
279,300033,2026-07-28,56.1651,0.2608,观察,数据不足,数据不足
280,600436,2026-07-28,56.043,0.3169,观察,数据不足,数据不足
281,600482,2026-07-28,55.8658,0.3169,观察,数据不足,数据不足
282,600941,2026-07-28,55.4685,0.2856,观察,数据不足,数据不足
283,600048,2026-07-28,55.4584,0.31,观察,数据不足,数据不足
284,300413,2026-07-28,55.2961,0.2792,观察,数据不足,数据不足
285,300760,2026-07-28,55.2507,0.3134,观察,数据不足,数据不足
286,601877,2026-07-28,55.1905,0.2682,观察,数据不足,数据不足
287,300803,2026-07-28,55.1052,0.2792,观察,数据不足,数据不足
288,601919,2026-07-28,55.0036,0.3169,观察,数据不足,数据不足
