生效日期,股票代码,股票名称
2020-01-13,SH_601117,中国化学
2020-01-13,SH_601138,工业富联
2020-01-13,SH_601155,新城控股
2020-01-13,SH_601162,天风证券
2020-01-13,SH_601166,兴业银行
2020-01-13,SH_601169,北京银行
2020-01-13,SH_601186,中国铁建
2020-01-13,SH_601198,东兴证券
2020-01-13,SH_601211,国泰君安
2020-01-13,SH_601212,白银有色
2020-01-13,SH_601216,君正集团
2020-01-13,SH_601225,陕西煤业
2020-01-13,SH_601229,上海银行
2020-01-13,SH_601236,红塔证券
2020-01-13,SH_601238,广汽集团
2020-01-13,SH_601288,农业银行
2020-01-13,SH_601298,青岛港
2020-01-13,SH_601318,中国平安
2020-01-13,SH_601319,中国人保
2020-01-13,SH_601328,交通银行
2020-01-13,SH_601336,新华保险
2020-01-13,SH_601360,三六零
2020-01-13,SH_601377,兴业证券
2020-01-13,SH_601390,中国中铁
2020-01-13,SH_601398,工商银行
2020-01-13,SH_601555,东吴证券
2020-01-13,SH_601577,长沙银行
2020-01-13,SH_601600,中国铝业
2020-01-13,SH_601601,中国太保
2020-01-13,SH_601607,上海医药
2020-01-13,SH_601618,中国中冶
2020-01-13,SH_601628,中国人寿
2020-01-13,SH_601633,长城汽车
2020-01-13,SH_601668,中国建筑
2020-01-13,SH_601669,中国电建
2020-01-13,SH_601688,华泰证券
2020-01-13,SH_601698,中国卫通
2020-01-13,SH_601727,上海电气
2020-01-13,SH_601766,中国中车
2020-01-13,SH_601788,光大证券
2020-01-13,SH_601800,中国交建
2020-01-13,SH_601808,中海油服
2020-01-13,SH_601818,光大银行
2020-01-13,SH_601828,美凯龙
2020-01-13,SH_601838,成都银行
2020-01-13,SH_601857,中国石油
2020-01-13,SH_601877,正泰电器
2020-01-13,SH_601878,浙商证券
2020-01-13,SH_601881,中国银河
2020-01-13,SH_601888,中国国旅
2020-01-13,SH_601898,中煤能源
2020-01-13,SH_601899,紫金矿业
2020-01-13,SH_601901,方正证券
2020-01-13,SH_601919,中远海控
2020-01-13,SH_601933,永辉超市
2020-01-13,SH_601939,建设银行
2020-01-13,SH_601985,中国核电
2020-01-13,SH_601988,中国银行
2020-01-13,SH_601989,中国重工
2020-01-13,SH_601992,金隅集团
2020-01-13,SH_601997,贵阳银行
2020-01-13,SH_601998,中信银行
2020-01-13,SH_603019,中科曙光
